timestamp,src_ip,dest_ip,protocol,bytes_out,analysis_note
2026-03-12T08:00:00,10.0.3.19,203.0.113.200,TLS,1500,Session setup
2026-03-12T08:01:00,10.0.3.19,203.0.113.200,TLS,1510,Session setup
2026-03-12T08:02:00,10.0.3.19,203.0.113.200,TLS,1520,Session setup
2026-03-12T08:03:00,10.0.3.19,203.0.113.200,TLS,1530,Session setup
2026-03-12T08:04:00,10.0.3.19,203.0.113.200,TLS,1540,Session setup
2026-03-12T08:05:00,10.0.3.19,203.0.113.200,TLS,1550,Session setup
2026-03-12T08:06:00,10.0.3.19,203.0.113.200,TLS,1560,Session setup
2026-03-12T08:07:00,10.0.3.19,203.0.113.200,TLS,1570,Session setup
2026-03-12T08:08:00,10.0.3.19,203.0.113.200,TLS,1580,Session setup
2026-03-12T08:09:00,10.0.3.19,203.0.113.200,TLS,1590,Session setup
2026-03-12T08:10:00,10.0.3.19,203.0.113.200,TLS,23000,Outbound transfer stream
2026-03-12T08:11:00,10.0.3.19,203.0.113.200,TLS,23100,Outbound transfer stream
2026-03-12T08:12:00,10.0.3.19,203.0.113.200,TLS,23200,Outbound transfer stream
2026-03-12T08:13:00,10.0.3.19,203.0.113.200,TLS,23300,Outbound transfer stream
2026-03-12T08:14:00,10.0.3.19,203.0.113.200,TLS,23400,Outbound transfer stream
2026-03-12T08:15:00,10.0.3.19,203.0.113.200,TLS,23500,Outbound transfer stream
2026-03-12T08:16:00,10.0.3.19,203.0.113.200,TLS,23600,Outbound transfer stream
2026-03-12T08:17:00,10.0.3.19,203.0.113.200,TLS,23700,Outbound transfer stream
2026-03-12T08:18:00,10.0.3.19,203.0.113.200,TLS,23800,Outbound transfer stream
2026-03-12T08:19:00,10.0.3.19,203.0.113.200,TLS,23900,Outbound transfer stream
